offset_hours,skillscore,run_dir
-10,0.3722000224760168,data/2-simulated/validation_20260504_185017_206025_envm10
-9,0.34369321083843063,data/2-simulated/validation_20260504_185017_206025_envm09
-8,0.3149145253851755,data/2-simulated/validation_20260504_185017_206025_envm08
-7,0.28439975119432925,data/2-simulated/validation_20260504_185017_206025_envm07
-6,0.25014258912088705,data/2-simulated/validation_20260504_185017_206025_envm06
-5,0.20741238324415323,data/2-simulated/validation_20260504_185017_206025_envm05
-4,0.16262342076494252,data/2-simulated/validation_20260504_185017_206025_envm04
-3,0.09872430652756237,data/2-simulated/validation_20260504_185017_206025_envm03
-2,0.04924724749959175,data/2-simulated/validation_20260504_185017_206025_envm02
-1,-0.0012600737396357697,data/2-simulated/validation_20260504_185017_206025_envm01
0,-0.052235881346776925,data/2-simulated/validation_20260504_185017_206025_envp00
1,-0.1251590844922681,data/2-simulated/validation_20260504_185017_206025_envp01
2,-0.17145262051203902,data/2-simulated/validation_20260504_185017_206025_envp02
3,-0.16172337888058275,data/2-simulated/validation_20260504_185017_206025_envp03
4,-0.19436682674653571,data/2-simulated/validation_20260504_185017_206025_envp04
5,-0.23313603936994753,data/2-simulated/validation_20260504_185017_206025_envp05
